ensembl,FC,padj,gene
ENSG00000196517.11,-2.623505125,9.87E-10,SLC6A9
ENSG00000224621.1,-2.621229943,0.15839052,AL451042.1
ENSG00000225614.3,-2.611707438,9.11E-15,ZNF469
ENSG00000100105.18,-2.605330222,2.15E-27,PATZ1
ENSG00000261587.2,-2.603200245,0.17138819,TMEM249
ENSG00000260092.1,-2.602258408,0.557615808,AC009163.3
ENSG00000228305.2,-2.602258408,0.557615808,AC016734.1
ENSG00000205871.5,-2.602258408,0.557615808,RPS3AP47
ENSG00000214760.3,-2.602258408,0.557615808,RPL21P1
ENSG00000218980.2,-2.602258408,0.557615808,FTH1P15
ENSG00000219085.1,-2.602258408,0.557615808,NPM1P37
ENSG00000225159.1,-2.602258408,0.557615808,NPM1P39
ENSG00000279134.1,-2.602258408,0.557615808,AC090643.1
ENSG00000286201.1,-2.602258408,0.557615808,AC011751.1
ENSG00000132128.16,-2.592546691,3.26E-70,LRRC41
ENSG00000225880.5,-2.589763184,0.180990162,LINC00115
ENSG00000228201.1,-2.589763184,0.180990162,AL022341.1
ENSG00000188643.11,-2.589029551,4.11E-301,S100A16
ENSG00000143321.19,-2.566443157,0,HDGF
ENSG00000037965.6,-2.563117771,0.012515905,HOXC8
ENSG00000116329.11,-2.555016904,4.89E-43,OPRD1
ENSG00000164294.14,-2.547971024,4.91E-195,GPX8
ENSG00000104783.14,-2.541409036,7.22E-146,KCNN4
ENSG00000162711.17,-2.53840145,1.40E-07,NLRP3
ENSG00000204956.5,-2.53605416,5.78E-06,PCDHGA1
ENSG00000100478.15,-2.528890878,0.000495528,AP4S1
ENSG00000227946.1,-2.525304344,0.013661914,AC007383.2
ENSG00000261884.2,-2.518283517,0.002610863,AC040162.1
ENSG00000166250.12,-2.515500763,2.76E-199,CLMP
ENSG00000155115.7,-2.512552477,1.23E-68,GTF3C6
ENSG00000151474.23,-2.51118674,3.42E-195,FRMD4A
ENSG00000229334.1,-2.509448122,0.002276735,AC046143.1
ENSG00000241749.4,-2.505168154,0.206277603,RPSAP52
ENSG00000273387.1,-2.502075971,0.117624515,AC005005.3
ENSG00000205730.6,-2.500304532,2.28E-119,ITPRIPL2
ENSG00000162458.13,-2.500208045,6.99E-80,FBLIM1
ENSG00000237424.1,-2.499949311,1.32E-19,FOXD2-AS1
ENSG00000258384.1,-2.493595972,0.378503692,AC068831.1
ENSG00000248668.3,-2.493595972,0.378503692,OXCT1-AS1
ENSG00000250791.2,-2.493595972,0.378503692,AC106892.1
ENSG00000279805.1,-2.493595972,0.378503692,Z95114.3
ENSG00000279504.1,-2.484520023,0.380724701,AD001527.2
ENSG00000246777.1,-2.484520023,0.380724701,AC044802.1
ENSG00000276649.1,-2.484520023,0.380724701,AL117335.1
ENSG00000236548.2,-2.484520023,0.380724701,RNF217-AS1
ENSG00000254486.1,-2.484520023,0.380724701,LINC02547
ENSG00000245522.2,-2.483089996,0.109666405,LINC02709
ENSG00000087077.14,-2.478598367,2.05E-175,TRIP6
ENSG00000273238.2,-2.476183535,7.29E-49,TMEM271
ENSG00000230306.1,-2.474854134,0.380667778,BANF1P2
ENSG00000257842.6,-2.474854134,0.380667778,LINC02588
ENSG00000181472.5,-2.472800477,2.76E-38,ZBTB2
ENSG00000256514.1,-2.468365382,0.406087097,AP003419.1
ENSG00000267160.1,-2.465736787,0.383197137,AC091152.2
ENSG00000228350.1,-2.465736787,0.383197137,LINC02585
ENSG00000254256.1,-2.465736787,0.383197137,RPSAP71
ENSG00000283183.2,-2.461687427,2.51E-06,AC116565.1
ENSG00000198743.7,-2.461381376,8.94E-226,SLC5A3
ENSG00000287721.1,-2.460958565,0.00096227,AC061975.8
ENSG00000280132.1,-2.460138193,0.013966678,AC026471.6
ENSG00000173267.14,-2.459197659,0.001789194,SNCG
ENSG00000243738.3,-2.45796361,0.21446667,RN7SL181P
ENSG00000101850.13,-2.45796361,0.21446667,GPR143
ENSG00000288105.1,-2.452903957,0.220200391,AC117461.1
ENSG00000132669.13,-2.450579078,5.50E-49,RIN2
ENSG00000175643.10,-2.448496243,1.74E-15,RMI2
ENSG00000204304.12,-2.448047756,1.32E-45,PBX2
ENSG00000064393.16,-2.438895473,0,HIPK2
ENSG00000123388.4,-2.436506537,0.00172156,HOXC11
ENSG00000236144.8,-2.436377378,8.17E-06,TMEM147-AS1
ENSG00000230337.1,-2.418157661,0.0708192,EXOSC10-AS1
ENSG00000227632.2,-2.413590748,0.070447244,AC018804.1
ENSG00000051180.17,-2.411019309,4.19E-27,RAD51
ENSG00000267577.1,-2.408809954,0.068833895,AC010327.4
ENSG00000226007.3,-2.408809954,0.068833895,BX005266.2
ENSG00000186684.14,-2.379799966,8.17E-09,CYP27C1
ENSG00000262096.2,-2.37905757,0.13143862,PCDHB19P
ENSG00000228459.4,-2.377231088,0.025712937,LINC01546
ENSG00000175305.17,-2.375482918,1.30E-35,CCNE2
ENSG00000100297.16,-2.355499982,5.74E-191,MCM5
ENSG00000203666.12,-2.354492731,4.69E-10,EFCAB2
ENSG00000183684.8,-2.351602227,2.34E-271,ALYREF
ENSG00000259295.6,-2.351163604,0.159353082,CSPG4P12
ENSG00000229771.2,-2.346849945,0.25385348,AL035665.1
ENSG00000168405.17,-2.336835656,0.003887249,CMAHP
ENSG00000172661.18,-2.33561794,3.91E-18,WASHC2C
ENSG00000197816.14,-2.319354242,0.094305137,CCDC180
ENSG00000243414.5,-2.318491079,2.42E-09,TICAM2
ENSG00000234814.8,-2.316836495,0.255690964,SVIL2P
ENSG00000279069.1,-2.307604625,0.007624187,AC015813.5
ENSG00000169247.12,-2.301686886,1.54E-38,SH3TC2
ENSG00000272841.1,-2.289384079,0.003028273,AL139393.3
ENSG00000106560.11,-2.284452922,0.002939937,GIMAP2
ENSG00000287673.1,-2.28181487,6.29E-05,AC051635.1
ENSG00000287446.1,-2.276404123,0.03919328,AC007731.5
ENSG00000272106.1,-2.271685704,0.03737505,AL691432.2
ENSG00000280351.2,-2.270181728,0.008767729,AC127496.7
ENSG00000260464.1,-2.264931696,0.024021571,AL049796.1
ENSG00000169136.11,-2.259218218,3.50E-32,ATF5
ENSG00000231298.7,-2.255653378,0.106774459,MANCR
ENSG00000277829.1,-2.253479611,0.007738041,AL031651.2
ENSG00000279148.1,-2.253030178,0.108479115,AC126474.1
ENSG00000257167.2,-2.252300221,1.57E-06,TMPO-AS1
ENSG00000064763.11,-2.251655763,3.08E-70,FAR2
ENSG00000143624.14,-2.251509116,5.10E-85,INTS3
ENSG00000171206.14,-2.250319779,2.77E-87,TRIM8
ENSG00000243749.1,-2.235910349,7.62E-07,TMEM35B
ENSG00000213190.3,-2.231751223,1.51E-27,MLLT11
ENSG00000277449.1,-2.230731776,0.069029558,CEBPB-AS1
ENSG00000263001.6,-2.224332015,5.81E-45,GTF2I
ENSG00000174132.9,-2.222244012,0.000249916,FAM174A
ENSG00000286532.1,-2.218847817,0.048777171,PARTICL
ENSG00000170955.10,-2.217850175,8.11E-128,CAVIN3
ENSG00000111335.12,-2.215250791,1.28E-08,OAS2
ENSG00000221866.9,-2.214866708,5.45E-197,PLXNA4
ENSG00000278619.5,-2.207944647,2.43E-07,MRM1
ENSG00000215154.6,-2.206745999,0.029420385,AC141586.1
ENSG00000061273.18,-2.205523277,1.15E-21,HDAC7
ENSG00000229647.2,-2.199492623,0.000209451,MYOSLID
ENSG00000079337.16,-2.198959651,0.000134116,RAPGEF3
ENSG00000231826.6,-2.189834495,9.20E-06,LINC01819
ENSG00000143772.9,-2.189606646,1.33E-30,ITPKB
ENSG00000257921.6,-2.181036622,0.210945925,AC025165.3
ENSG00000246790.2,-2.180449478,0.310704964,AP000977.1
ENSG00000258366.8,-2.178965479,3.52E-13,RTEL1
ENSG00000143554.14,-2.173433063,0.059748444,SLC27A3
ENSG00000287200.1,-2.168151543,0.083598143,AC022506.2
ENSG00000224687.2,-2.168151543,0.083598143,RASAL2-AS1
ENSG00000237548.1,-2.16773689,0.476719816,TTLL11-IT1
ENSG00000286311.1,-2.16773689,0.476719816,AL034550.3
ENSG00000205307.12,-2.16773689,0.476719816,SAP25
ENSG00000255202.1,-2.16773689,0.476719816,AL049629.1
ENSG00000271427.1,-2.16773689,0.476719816,AL358072.1
ENSG00000276390.1,-2.16773689,0.476719816,AC004241.3
ENSG00000279660.1,-2.16773689,0.476719816,AC005703.6
ENSG00000287032.1,-2.16773689,0.476719816,AC018647.3
ENSG00000287422.1,-2.16773689,0.476719816,AL442071.2
ENSG00000235257.9,-2.16728967,0.018307773,ITGA9-AS1
ENSG00000273275.1,-2.165229929,0.29860387,AC017083.2
ENSG00000285082.2,-2.162446785,0.126790868,AL160272.2
ENSG00000177096.9,-2.161319851,0.001236774,PHETA2
ENSG00000282057.1,-2.160234987,0.010430543,AC092807.3
ENSG00000268222.1,-2.157860626,0.480762729,EEF1A1P7
ENSG00000260908.1,-2.156531414,0.48471914,AC009093.3
ENSG00000104361.10,-2.155681778,2.79E-14,NIPAL2
ENSG00000136938.9,-2.155119078,4.60E-214,ANP32B
ENSG00000133401.16,-2.155065718,2.54E-100,PDZD2
ENSG00000279765.3,-2.154862466,0.333049129,AC013394.1
ENSG00000279337.1,-2.154033701,0.302217936,AC127024.7
ENSG00000274021.1,-2.154033701,0.302217936,AC024909.1
ENSG00000261188.1,-2.151004509,0.038501574,Z95115.1
ENSG00000214706.10,-2.149321941,1.79E-95,IFRD2
ENSG00000230896.1,-2.146868277,0.479527973,AL604028.1
ENSG00000172146.2,-2.146868277,0.479527973,OR1A1
ENSG00000183929.7,-2.146868277,0.479527973,DUSP5P1
ENSG00000201217.1,-2.146868277,0.479527973,Y_RNA
ENSG00000266783.1,-2.146868277,0.479527973,AP005136.3
ENSG00000266990.1,-2.146868277,0.479527973,AC004528.1
ENSG00000074657.13,-2.146393909,6.15E-68,ZNF532
ENSG00000176871.8,-2.14320814,2.71E-138,WSB2
ENSG00000186564.5,-2.142094507,4.02E-27,FOXD2
ENSG00000179219.5,-2.13517562,0.487872158,LINC00311
ENSG00000164220.7,-2.133475196,8.52E-73,F2RL2
ENSG00000229619.4,-2.132866746,0.322451191,MBNL1-AS1
ENSG00000241852.10,-2.128958199,2.30E-20,C8orf58
ENSG00000262664.3,-2.120088777,2.14E-38,OVCA2
ENSG00000123427.17,-2.119040241,0.00086774,EEF1AKMT3
ENSG00000268941.2,-2.112311214,9.75E-05,LINC01711
ENSG00000031081.11,-2.110787023,2.47E-38,ARHGAP31
ENSG00000235578.1,-2.109283098,0.001176324,AC007731.2
ENSG00000111676.15,-2.109106732,6.75E-269,ATN1
ENSG00000177374.13,-2.101612422,3.34E-69,HIC1
ENSG00000213719.8,-2.099127107,0,CLIC1
ENSG00000156853.13,-2.087729071,1.99E-16,ZNF689
ENSG00000117226.12,-2.086148015,1.05E-36,GBP3
ENSG00000196196.3,-2.080707278,0.022083938,HRCT1
ENSG00000064547.14,-2.078458731,0.157586755,LPAR2
ENSG00000105810.9,-2.078321146,9.34E-195,CDK6
ENSG00000185163.10,-2.077997158,9.17E-16,DDX51
ENSG00000008311.15,-2.074018869,1.52E-09,AASS
ENSG00000154027.19,-2.073738346,5.29E-41,AK5
ENSG00000187624.9,-2.068754054,0.039184834,C17orf97
ENSG00000173327.8,-2.068066048,5.29E-81,MAP3K11
ENSG00000227959.1,-2.06800378,0.154467473,AL451042.2
ENSG00000103495.14,-2.067966156,4.06E-227,MAZ
ENSG00000166888.12,-2.067619103,9.39E-49,STAT6
ENSG00000258711.2,-2.067525089,0.00162377,AL358334.2
ENSG00000146267.12,-2.064206319,3.14E-14,FAXC
ENSG00000173068.18,-2.060542093,6.96E-30,BNC2
ENSG00000154556.18,-2.05561236,8.46E-16,SORBS2
ENSG00000279035.1,-2.054206659,0.254952727,AC022211.4
ENSG00000258458.8,-2.047198727,0.238645353,AL160314.2
ENSG00000271643.2,-2.046832416,0.004171483,AC112220.2
ENSG00000108511.10,-2.046657844,1.33E-31,HOXB6
ENSG00000276077.4,-2.044388801,0.089086113,CU633904.1
ENSG00000167653.5,-2.042494416,0.018218014,PSCA
ENSG00000204323.5,-2.038980156,0.238491438,SMIM5
ENSG00000015171.19,-2.036323065,1.14E-67,ZMYND11
ENSG00000284948.1,-2.036205235,0.021374223,AC107959.4
ENSG00000277232.2,-2.036113559,0.079267147,GTSE1-DT
ENSG00000170545.17,-2.035619605,1.56E-15,SMAGP
ENSG00000078399.18,-2.034938224,0.241769328,HOXA9
ENSG00000198795.11,-2.031591897,7.68E-18,ZNF521
ENSG00000108219.15,-2.030815677,3.41E-131,TSPAN14
ENSG00000149781.12,-2.030289262,2.73E-08,FERMT3
ENSG00000271980.1,-2.029178957,0.239292677,AC012640.4
ENSG00000272644.1,-2.029178957,0.239292677,AC097468.3
ENSG00000166741.7,-2.028876352,4.20E-67,NNMT
ENSG00000167695.15,-2.021260172,3.73E-08,TLCD3A
ENSG00000257354.2,-2.019378889,0.125716388,AC048341.1
ENSG00000286140.1,-2.019256251,6.76E-05,DERPC
ENSG00000128805.14,-2.017194672,2.04E-34,ARHGAP22
ENSG00000249992.2,-2.01639038,0,TMEM158
ENSG00000102271.14,-2.01437892,1.58E-22,KLHL4
ENSG00000132004.13,-2.011211569,0.001390498,FBXW9
ENSG00000144579.7,-2.011148055,1.30E-86,CTDSP1
ENSG00000260924.2,-2.010835645,0.127327624,LINC01311
ENSG00000179428.2,-2.00884682,0.021138121,AC073072.1
ENSG00000090447.12,-2.006824273,4.70E-11,TFAP4
ENSG00000159128.14,-2.000208682,2.14E-69,IFNGR2
ENSG00000220749.4,-1.99905498,0.380271242,RPL21P28
ENSG00000259456.4,-1.998395408,0.12692323,ADNP-AS1
ENSG00000224080.1,-1.995712767,0.001160078,UBE2FP1
ENSG00000241627.3,-1.993379089,0.209715172,UBQLN4P1
ENSG00000148468.17,-1.993377241,4.74E-97,FAM171A1
ENSG00000205085.11,-1.992190428,0.378338029,FAM71F2
ENSG00000131153.9,-1.990013706,1.40E-58,GINS2
ENSG00000259943.1,-1.989982738,0.000254762,AL050341.2
ENSG00000282936.2,-1.987912589,0.067729639,AC004706.3
ENSG00000224420.3,-1.987301591,0.003862119,ADM5
ENSG00000274808.5,-1.98572201,0.379919465,TBC1D3B
ENSG00000288040.1,-1.98572201,0.379919465,AC097713.3
ENSG00000272447.1,-1.985083328,9.31E-09,AL135925.1
ENSG00000146001.5,-1.980977143,0.000418354,PCDHB18P
ENSG00000245685.7,-1.98094553,0.189647767,FRG1-DT
ENSG00000183308.6,-1.979509713,0.386242149,AC005037.1
ENSG00000138074.15,-1.976638896,1.74E-142,SLC5A6
ENSG00000136928.7,-1.97657948,5.57E-203,GABBR2
ENSG00000268584.1,-1.976491152,0.368511369,AC073389.1
ENSG00000116396.14,-1.974065367,2.23E-14,KCNC4
ENSG00000267414.1,-1.970142117,0.186463021,AC120049.1
ENSG00000118113.12,-1.970119982,0.365719984,MMP8
ENSG00000256417.1,-1.970119982,0.365719984,AC006206.2
ENSG00000239893.2,-1.970119982,0.365719984,ZNF736P9Y
ENSG00000273002.1,-1.970119982,0.365719984,AL355388.2
ENSG00000231528.3,-1.969701536,3.07E-05,FAM225A
ENSG00000287431.1,-1.968730532,0.015117843,AC027601.6
ENSG00000266278.1,-1.966956723,0.186455755,LINC01910
ENSG00000099250.18,-1.966705331,0,NRP1
ENSG00000175573.7,-1.96541714,1.22E-53,C11orf68
ENSG00000123136.15,-1.964793344,1.36E-164,DDX39A
