ensembl,FC,padj,gene
ENSG00000224738.1,-5.149980148,0.003056778,AC099850.1
ENSG00000162777.17,-5.139297943,1.91E-44,DENND2D
ENSG00000286239.1,-5.080154997,0.016764446,AC093884.1
ENSG00000274104.1,-5.079719314,0.014623387,AC020910.5
ENSG00000091428.18,-5.071296567,3.68E-14,RAPGEF4
ENSG00000286873.1,-4.998205746,0.00441577,AC012306.3
ENSG00000287036.1,-4.992954567,1.99E-11,AC018802.1
ENSG00000262877.5,-4.973204162,0.021060048,AC110285.2
ENSG00000282278.1,-4.97289155,0.019118683,AC058822.1
ENSG00000235618.8,-4.97289155,0.019118683,FAM21EP
ENSG00000282907.1,-4.97289155,0.019118683,Z98883.1
ENSG00000273221.1,-4.97289155,0.019118683,AL355816.2
ENSG00000216285.5,-4.972116974,0.021100372,AC078819.1
ENSG00000271978.1,-4.956870128,0.005538363,AL359643.2
ENSG00000068489.12,-4.941709061,6.35E-79,PRR11
ENSG00000188368.9,-4.915554862,0.005489847,PRR19
ENSG00000254645.2,-4.907165494,5.80E-11,AC087379.1
ENSG00000229195.1,-4.894534338,6.82E-09,AC009495.1
ENSG00000257826.1,-4.875349082,0.006108856,AL133304.2
ENSG00000213999.17,-4.857184017,0.024462391,MEF2B
ENSG00000006747.15,-4.857184017,0.024462391,SCIN
ENSG00000236166.1,-4.857184017,0.024462391,AL021408.1
ENSG00000288074.1,-4.857184017,0.024462391,AC026341.3
ENSG00000203943.8,-4.849297916,9.00E-05,SAMD13
ENSG00000175643.10,-4.83103051,1.33E-08,RMI2
ENSG00000072571.20,-4.802791266,1.21E-79,HMMR
ENSG00000247746.4,-4.767676661,4.74E-48,USP51
ENSG00000163884.4,-4.751504156,9.55E-14,KLF15
ENSG00000166851.15,-4.747949459,6.14E-118,PLK1
ENSG00000241280.1,-4.732294508,0.036636211,AC106712.1
ENSG00000145949.11,-4.732107175,0.034143975,MYLK4
ENSG00000173811.11,-4.731562637,0.03213635,CCDC13-AS1
ENSG00000287261.1,-4.731562637,0.03213635,AL139243.1
ENSG00000263266.2,-4.731381291,0.032810319,RPS7P1
ENSG00000117724.13,-4.691903882,5.56E-191,CENPF
ENSG00000171502.15,-4.689630713,0.010824002,COL24A1
ENSG00000115163.15,-4.689259756,8.15E-50,CENPA
ENSG00000242282.6,-4.689010807,0.009732988,AC108488.1
ENSG00000237212.2,-4.687828235,0.000184802,AL449403.1
ENSG00000163600.12,-4.672150623,2.75E-11,ICOS
ENSG00000239508.1,-4.657246608,3.44E-27,PLCH1-AS1
ENSG00000106560.11,-4.635353188,0.011116115,GIMAP2
ENSG00000065328.16,-4.634477981,2.96E-34,MCM10
ENSG00000167513.9,-4.618702552,6.74E-41,CDT1
ENSG00000171217.5,-4.594751,0.047137521,CLDN20
ENSG00000287397.1,-4.594751,0.047137521,AP002528.1
ENSG00000279041.1,-4.59454708,0.044325862,AC102945.2
ENSG00000272626.1,-4.59454708,0.044325862,AC021146.12
ENSG00000139219.19,-4.594347199,0.042904783,COL2A1
ENSG00000287515.1,-4.594149068,0.042468858,AL929602.1
ENSG00000260269.5,-4.594149068,0.042468858,AC105036.3
ENSG00000269397.1,-4.594149068,0.042468858,AC011503.2
ENSG00000173213.9,-4.594149068,0.042468858,TUBB8P12
ENSG00000255605.1,-4.594149068,0.042468858,AP000820.1
ENSG00000258813.2,-4.593950659,0.04293281,AL442663.3
ENSG00000246283.2,-4.593750111,0.04438356,AC090510.1
ENSG00000227199.1,-4.586331896,0.012879603,ST7-AS1
ENSG00000112984.12,-4.574932286,1.55E-61,KIF20A
ENSG00000126856.14,-4.545940946,4.74E-19,PRDM7
ENSG00000283486.2,-4.528116797,0.014185443,FAM95C
ENSG00000119711.13,-4.526619727,1.56E-25,ALDH6A1
ENSG00000075218.19,-4.498521165,1.28E-143,GTSE1
ENSG00000161888.11,-4.455348341,1.04E-14,SPC24
ENSG00000131944.10,-4.449266263,2.50E-08,FAAP24
ENSG00000230393.1,-4.442699951,0.061050997,AC092667.1
ENSG00000213300.5,-4.442475786,0.057929693,HNRNPA3P6
ENSG00000273243.1,-4.442255344,0.056629226,Z82243.1
ENSG00000235904.3,-4.442035841,0.056631046,RBMS3-AS3
ENSG00000242419.5,-4.442035841,0.056631046,PCDHGC4
ENSG00000271966.1,-4.442035841,0.056631046,AC021321.1
ENSG00000262410.1,-4.442035841,0.056631046,AC024361.1
ENSG00000233672.8,-4.441814848,0.057992888,RNASEH2B-AS1
ENSG00000135476.11,-4.430218513,9.13E-43,ESPL1
ENSG00000156970.12,-4.427638059,1.29E-81,BUB1B
ENSG00000165304.8,-4.420487338,3.28E-47,MELK
ENSG00000136514.3,-4.418555035,0.000680485,RTP4
ENSG00000066279.18,-4.400475626,5.44E-110,ASPM
ENSG00000111247.14,-4.391049103,2.09E-20,RAD51AP1
ENSG00000188467.11,-4.388240706,0,SLC24A5
ENSG00000277232.2,-4.384445046,0.000735093,GTSE1-DT
ENSG00000186185.14,-4.379672973,8.45E-19,KIF18B
ENSG00000284946.1,-4.377684361,3.24E-05,AC068831.7
ENSG00000253522.6,-4.371624835,4.07E-11,MIR3142HG
ENSG00000228495.2,-4.351158681,0.021096242,LINC01013
ENSG00000163808.17,-4.345430945,9.72E-23,KIF15
ENSG00000051341.14,-4.327898245,2.41E-50,POLQ
ENSG00000127564.17,-4.314768722,4.76E-37,PKMYT1
ENSG00000090889.12,-4.31414337,1.62E-38,KIF4A
ENSG00000231811.3,-4.306015037,1.80E-16,AL159166.1
ENSG00000148773.14,-4.303119756,2.33E-169,MKI67
ENSG00000156509.14,-4.289058208,1.92E-06,FBXO43
ENSG00000165244.7,-4.289031099,7.87E-15,ZNF367
ENSG00000228280.1,-4.272466687,0.077143482,AL731568.1
ENSG00000276965.1,-4.272466687,0.077143482,AC004542.6
ENSG00000240889.1,-4.272220233,0.076237222,NDUFB2-AS1
ENSG00000233388.2,-4.272220233,0.076237222,AL022334.1
ENSG00000277152.1,-4.272220233,0.076237222,AC110048.2
ENSG00000180481.11,-4.271973468,0.077194351,GLIPR1L2
ENSG00000262223.8,-4.271881503,2.85E-37,AC110285.1
ENSG00000284776.1,-4.271722914,0.08040724,AL121900.2
ENSG00000232573.1,-4.271722914,0.08040724,RPL3P4
ENSG00000284660.1,-4.271722914,0.08040724,AC092902.5
ENSG00000286488.1,-4.271722914,0.08040724,AC103858.3
ENSG00000012048.22,-4.270541931,5.19E-46,BRCA1
ENSG00000065361.15,-4.264090856,0,ERBB3
ENSG00000138669.9,-4.257806477,6.28E-121,PRKG2
ENSG00000284675.1,-4.256179714,0.001308191,AC116667.2
ENSG00000116652.6,-4.255905944,0.001197034,DLEU2L
ENSG00000004846.16,-4.255415077,6.32E-37,ABCB5
ENSG00000137135.18,-4.248395591,1.24E-07,ARHGEF39
ENSG00000283097.1,-4.243183556,3.76E-06,AL159152.1
ENSG00000154608.14,-4.235956093,5.33E-13,CEP170P1
ENSG00000226562.4,-4.223439443,0.029794203,CYP4F26P
ENSG00000279387.1,-4.219555709,0.028060201,AC011474.4
ENSG00000172005.11,-4.219429561,0.02845421,MAL
ENSG00000101096.20,-4.210786187,1.22E-123,NFATC2
ENSG00000169282.17,-4.205664837,4.52E-15,KCNAB1
ENSG00000136997.19,-4.201135609,0,MYC
ENSG00000238164.6,-4.185101063,4.92E-06,TNFRSF14-AS1
ENSG00000126785.13,-4.173222734,4.87E-23,RHOJ
ENSG00000164109.14,-4.171285905,6.28E-97,MAD2L1
ENSG00000180777.14,-4.167120096,7.11E-06,ANKRD30B
ENSG00000152253.9,-4.162984826,3.30E-32,SPC25
ENSG00000175305.17,-4.151985615,3.30E-24,CCNE2
ENSG00000080986.13,-4.150843258,4.27E-41,NDC80
ENSG00000225335.3,-4.149129331,0.032198743,AC016027.1
ENSG00000226690.8,-4.149129331,0.032198743,AC013470.2
ENSG00000134057.15,-4.130695273,1.58E-238,CCNB1
ENSG00000105137.13,-4.12852837,2.05E-25,SYDE1
ENSG00000255494.1,-4.119362591,0.002278327,LINC00681
ENSG00000157456.8,-4.116198712,1.11E-82,CCNB2
ENSG00000142945.13,-4.115149536,4.34E-146,KIF2C
ENSG00000111665.11,-4.104769445,3.76E-22,CDCA3
ENSG00000168078.10,-4.099395962,5.92E-91,PBK
ENSG00000120896.13,-4.090095318,1.81E-39,SORBS3
ENSG00000101057.16,-4.089865592,4.69E-187,MYBL2
ENSG00000111664.10,-4.079997143,0.106678905,GNB3
ENSG00000279968.2,-4.079997143,0.106678905,GVQW2
ENSG00000120664.11,-4.079997143,0.106678905,SPART-AS1
ENSG00000196427.13,-4.079997143,0.106678905,NBPF4
ENSG00000214223.4,-4.079997143,0.106678905,HNRNPA1P10
ENSG00000234997.2,-4.07971492,0.103810672,AC016745.1
ENSG00000285942.1,-4.07971492,0.103810672,AC018362.3
ENSG00000225032.5,-4.07971492,0.103810672,AL162586.1
ENSG00000273391.1,-4.07971492,0.103810672,AC083880.1
ENSG00000261064.1,-4.07971492,0.103810672,LINC02256
ENSG00000166927.13,-4.07971492,0.103810672,MS4A7
ENSG00000267659.5,-4.07971492,0.103810672,LINC01482
ENSG00000279135.1,-4.07971492,0.103810672,AL512652.2
ENSG00000287074.1,-4.07971492,0.103810672,AC137561.1
ENSG00000007062.11,-4.079546081,0.037027045,PROM1
ENSG00000286269.1,-4.079434514,0.103847912,AC092661.1
ENSG00000240053.8,-4.079151398,0.10675686,LY6G5B
ENSG00000260571.1,-4.079151398,0.10675686,BNIP3P5
ENSG00000251323.3,-4.079151398,0.10675686,LINC02728
ENSG00000266365.1,-4.079151398,0.10675686,AC053481.3
ENSG00000286116.1,-4.078859356,0.114413937,AL157394.3
ENSG00000198826.11,-4.071500425,2.49E-111,ARHGAP11A
ENSG00000188610.12,-4.064696248,6.68E-08,FAM72B
ENSG00000213347.10,-4.061372964,8.44E-07,MXD3
ENSG00000173068.18,-4.055298745,5.12E-161,BNC2
ENSG00000240859.3,-4.053945311,1.60E-05,AC093627.4
ENSG00000270194.1,-4.050485053,0.000195296,AC097359.2
ENSG00000140025.16,-4.047605157,1.08E-06,EFCAB11
ENSG00000230490.3,-4.044811772,1.76E-11,AL139383.1
ENSG00000014138.9,-4.039995599,7.64E-31,POLA2
ENSG00000124900.12,-4.026652317,1.33E-13,TRIM51
ENSG00000043143.20,-4.022020534,9.45E-129,JADE2
ENSG00000122952.17,-4.011488761,8.34E-88,ZWINT
ENSG00000089685.15,-4.009585968,6.80E-221,BIRC5
ENSG00000183856.11,-4.006599847,2.10E-31,IQGAP3
ENSG00000142731.11,-4.006039097,2.25E-19,PLK4
ENSG00000088325.16,-4.002717531,0,TPX2
ENSG00000276529.1,-4.001948592,0.04453524,AP001505.1
ENSG00000234779.1,-4.001674091,0.04320264,BNC2-AS1
ENSG00000279692.1,-4.001455831,0.043206052,AC110285.6
ENSG00000174348.13,-4.001455831,0.043206052,PODN
ENSG00000105792.19,-4.001366118,0.04371891,CFAP69
ENSG00000198053.11,-3.989446122,0,SIRPA
ENSG00000270090.5,-3.98255999,1.66E-06,AL590235.1
ENSG00000079308.19,-3.982183426,2.80E-128,TNS1
ENSG00000102384.13,-3.974116791,6.74E-11,CENPI
ENSG00000251372.6,-3.969800485,2.53E-06,LINC00499
ENSG00000225106.1,-3.96927533,5.35E-19,AL162457.2
ENSG00000274944.4,-3.95912213,0.046672294,AL139260.3
ENSG00000214826.5,-3.953865792,0.004299152,DDX12P
ENSG00000254413.8,-3.943840408,0.090170251,CHKB-CPT1B
ENSG00000051180.17,-3.941001577,1.90E-24,RAD51
ENSG00000138778.12,-3.919702506,1.14E-41,CENPE
ENSG00000056972.20,-3.917709173,3.37E-100,TRAF3IP2
ENSG00000237476.1,-3.914608912,0.050480835,LINC01637
ENSG00000257354.2,-3.914515835,0.050071261,AC048341.1
ENSG00000024526.17,-3.90539146,1.75E-92,DEPDC1
ENSG00000076382.17,-3.897031648,2.73E-65,SPAG5
ENSG00000140534.14,-3.89273513,6.02E-28,TICRR
ENSG00000215784.6,-3.891756142,0.030345512,FAM72D
ENSG00000172458.4,-3.885788313,9.32E-46,IL17D
ENSG00000261812.6,-3.874073646,0.005144509,TUBB8P7
ENSG00000085840.13,-3.872029825,2.33E-25,ORC1
ENSG00000100146.17,-3.871859894,0,SOX10
ENSG00000177602.5,-3.871268424,6.69E-19,HASPIN
ENSG00000276649.1,-3.865311499,2.37E-13,AL117335.1
ENSG00000104147.9,-3.864589441,1.72E-18,OIP5
ENSG00000259775.1,-3.857508203,0.144336525,AL138976.2
ENSG00000285853.1,-3.857508203,0.144336525,AL137802.3
ENSG00000236529.2,-3.857508203,0.144336525,AC093582.1
ENSG00000170178.6,-3.857508203,0.144336525,HOXD12
ENSG00000214188.9,-3.857508203,0.144336525,ST7-OT4
ENSG00000234345.2,-3.857508203,0.144336525,AC234782.3
ENSG00000287218.1,-3.857508203,0.144336525,AL359962.3
ENSG00000198064.13,-3.857181841,0.143332128,NPIPB13
ENSG00000231784.8,-3.857181841,0.143332128,DBIL5P
ENSG00000219755.1,-3.857181841,0.143332128,AL137784.1
ENSG00000125245.12,-3.857181841,0.143332128,GPR18
ENSG00000149488.13,-3.857181841,0.143332128,TMC2
ENSG00000167910.4,-3.857181841,0.143332128,CYP7A1
ENSG00000224805.2,-3.857181841,0.143332128,LINC00853
ENSG00000234043.3,-3.857181841,0.143332128,NUDT9P1
ENSG00000260052.1,-3.857181841,0.143332128,AC023813.3
ENSG00000271784.1,-3.857181841,0.143332128,AL031055.1
ENSG00000272379.1,-3.857181841,0.143332128,AL008729.2
ENSG00000275516.1,-3.857181841,0.143332128,AC100791.3
ENSG00000243819.4,-3.856855002,0.144336525,RN7SL832P
ENSG00000271816.1,-3.856855002,0.144336525,BMS1P4
ENSG00000171180.2,-3.856855002,0.144336525,OR2M4
ENSG00000198046.12,-3.856855002,0.144336525,ZNF667
ENSG00000242728.1,-3.856855002,0.144336525,UQCRHP4
ENSG00000249279.6,-3.856855002,0.144336525,LINC02057
ENSG00000269984.1,-3.856855002,0.144336525,AC078795.1
ENSG00000273064.1,-3.856855002,0.144336525,AC017083.1
ENSG00000284266.1,-3.856855002,0.144336525,MIR4534
ENSG00000287214.1,-3.856855002,0.144336525,AC021321.2
ENSG00000140451.13,-3.855780499,4.82E-08,PIF1
ENSG00000129534.14,-3.835064992,2.06E-45,MIS18BP1
ENSG00000175356.13,-3.831914173,0.058643662,SCUBE2
ENSG00000171320.15,-3.822758058,2.43E-24,ESCO2
ENSG00000087077.14,-3.822261086,1.27E-61,TRIP6
ENSG00000129810.15,-3.81021584,5.40E-15,SGO1
ENSG00000170624.13,-3.800083167,2.38E-123,SGCD
ENSG00000007968.7,-3.799778966,3.65E-14,E2F2
ENSG00000163482.12,-3.798904055,2.47E-13,STK36
ENSG00000226869.6,-3.786847905,5.22E-270,LHFPL3-AS1
ENSG00000254813.5,-3.778050003,1.15E-16,AC123777.1
ENSG00000122966.16,-3.777267851,1.44E-80,CIT
ENSG00000175063.17,-3.775564637,2.72E-78,UBE2C
ENSG00000178999.13,-3.775367466,1.75E-88,AURKB
ENSG00000110031.12,-3.767721499,1.98E-51,LPXN
ENSG00000144554.10,-3.766553175,3.21E-38,FANCD2
ENSG00000287262.1,-3.766519403,0.000873128,AC021148.2
ENSG00000143627.19,-3.76297455,0.001076668,PKLR
ENSG00000231407.6,-3.754729638,1.28E-05,GORAB-AS1
ENSG00000101003.10,-3.750030998,3.77E-46,GINS1
ENSG00000269693.1,-3.748770879,0.090432205,AC010422.6
ENSG00000172742.5,-3.741863548,0.001200375,OR4D9
ENSG00000013810.19,-3.741088633,1.12E-83,TACC3
ENSG00000253626.3,-3.739551787,0.075192925,EIF5AL1
ENSG00000161860.8,-3.739141487,0.070289208,SYCE2
ENSG00000223685.6,-3.738973547,0.069143445,LINC00571
ENSG00000090447.12,-3.737440506,4.74E-20,TFAP4
ENSG00000117399.14,-3.737398196,7.52E-188,CDC20
ENSG00000184786.6,-3.73356615,0.068774852,TCTE3
ENSG00000144354.14,-3.723808852,4.25E-10,CDCA7
ENSG00000129173.13,-3.723369398,2.38E-07,E2F8
ENSG00000153044.10,-3.722575854,1.33E-33,CENPH
ENSG00000230992.3,-3.714788797,0.000161641,FAM201B
ENSG00000157873.17,-3.714699658,1.16E-115,TNFRSF14
ENSG00000183337.17,-3.69209085,4.90E-73,BCOR
ENSG00000225768.1,-3.685084772,0.00022465,LINC02620
ENSG00000123485.12,-3.676278885,1.90E-70,HJURP
ENSG00000118193.12,-3.67372993,1.30E-44,KIF14
ENSG00000100479.13,-3.672583591,7.16E-09,POLE2
ENSG00000198901.14,-3.668731219,6.60E-154,PRC1
ENSG00000071539.14,-3.660946346,3.47E-89,TRIP13
ENSG00000109805.10,-3.652039029,3.41E-97,NCAPG
ENSG00000166803.13,-3.65059628,1.23E-49,PCLAF
ENSG00000112242.15,-3.645013932,4.31E-49,E2F3
ENSG00000254109.6,-3.639461602,0.081010141,RBPMS-AS1
ENSG00000146670.10,-3.637704,4.25E-56,CDCA5
ENSG00000286181.1,-3.637134289,0.01148572,AC232271.3
ENSG00000287448.1,-3.636861663,5.01E-06,AC018558.7
ENSG00000250506.7,-3.634223675,0.084315387,CDK3
ENSG00000271882.1,-3.634167862,0.082329811,AP001330.4
ENSG00000226824.7,-3.633953431,0.080913931,AC006001.2
ENSG00000134690.11,-3.631353639,1.17E-63,CDCA8
ENSG00000152977.10,-3.627245911,2.48E-07,ZIC1
ENSG00000267339.7,-3.624476804,7.88E-07,LINC00906
ENSG00000188906.16,-3.621371865,3.59E-15,LRRK2
ENSG00000248461.3,-3.619512744,4.30E-05,LINC02119
ENSG00000035499.13,-3.618464758,4.60E-31,DEPDC1B
ENSG00000166508.17,-3.612059276,0,MCM7
ENSG00000101945.16,-3.611690426,5.14E-30,SUV39H1
ENSG00000087586.17,-3.611519732,3.15E-121,AURKA
ENSG00000158402.20,-3.60601168,9.91E-12,CDC25C
ENSG00000126787.13,-3.60177664,1.06E-78,DLGAP5
ENSG00000241361.8,-3.600375912,0.001935923,SLC25A24P1
ENSG00000186603.6,-3.598436003,1.69E-78,HPDL
ENSG00000275880.1,-3.59473541,0.208130025,AL139385.1
ENSG00000204323.5,-3.594341451,0.20068366,SMIM5
ENSG00000271133.5,-3.594341451,0.20068366,AC004130.2
ENSG00000271387.1,-3.594341451,0.20068366,AL445228.2
ENSG00000286888.1,-3.594341451,0.20068366,AC006427.2
ENSG00000271949.1,-3.594341451,0.20068366,AC093423.3
ENSG00000227449.8,-3.594341451,0.20068366,FGF7P6
ENSG00000240401.9,-3.594341451,0.20068366,AC012358.3
ENSG00000116882.14,-3.594341451,0.20068366,HAO2
ENSG00000204805.9,-3.594341451,0.20068366,AL391987.2
ENSG00000230084.6,-3.594341451,0.20068366,AC006059.1
ENSG00000245857.3,-3.594341451,0.20068366,AF233439.1
ENSG00000249149.2,-3.594341451,0.20068366,AC099522.1
ENSG00000257275.6,-3.594341451,0.20068366,AL139020.1
ENSG00000261460.1,-3.594341451,0.20068366,AC009690.2
ENSG00000278396.1,-3.594341451,0.20068366,AL122023.1
ENSG00000287170.1,-3.594341451,0.20068366,AC010327.8
ENSG00000225937.3,-3.593952209,0.20068366,PCA3
ENSG00000284703.1,-3.593952209,0.20068366,AL805961.1
ENSG00000170542.6,-3.593952209,0.20068366,SERPINB9
ENSG00000205041.1,-3.593952209,0.20068366,AC118344.1
ENSG00000226812.2,-3.593952209,0.20068366,AL117382.1
ENSG00000227098.2,-3.593952209,0.20068366,AC073636.1
ENSG00000229543.1,-3.593952209,0.20068366,AC010163.1
ENSG00000232303.2,-3.593952209,0.20068366,DFFBP1
ENSG00000237803.6,-3.593952209,0.20068366,LINC00211
ENSG00000249209.2,-3.593952209,0.20068366,AP000311.1
ENSG00000249286.1,-3.593952209,0.20068366,AMD1P3
ENSG00000254550.1,-3.593952209,0.20068366,OMP
ENSG00000273139.1,-3.593952209,0.20068366,AC007663.3
ENSG00000285103.2,-3.593952209,0.20068366,AL451123.1
ENSG00000286243.1,-3.593952209,0.20068366,AL442644.2
ENSG00000286274.1,-3.593952209,0.20068366,AC008679.1
ENSG00000287678.1,-3.593952209,0.20068366,AL031778.1
ENSG00000280018.4,-3.593556494,0.208352847,CU634019.5
ENSG00000187905.10,-3.593556494,0.208352847,LRRC74B
ENSG00000247903.1,-3.593556494,0.208352847,AC024896.1
ENSG00000213430.6,-3.593556494,0.208352847,HSPD1P1
ENSG00000121211.8,-3.591100884,2.14E-08,MND1
ENSG00000137804.14,-3.587132573,6.68E-131,NUSAP1
ENSG00000138160.6,-3.586673781,2.57E-90,KIF11
ENSG00000137812.19,-3.574744024,3.52E-28,KNL1
ENSG00000171241.9,-3.562733356,7.21E-52,SHCBP1
ENSG00000144642.22,-3.560437053,2.21E-10,RBMS3
ENSG00000186638.16,-3.555392,1.06E-08,KIF24
ENSG00000135451.13,-3.546290445,2.21E-23,TROAP
ENSG00000100297.16,-3.545457495,3.52E-213,MCM5
ENSG00000085999.13,-3.544642267,6.22E-19,RAD54L
ENSG00000272711.1,-3.544548256,5.82E-14,AC019069.1
ENSG00000159788.19,-3.541532079,4.63E-106,RGS12
ENSG00000280135.1,-3.536080779,0.000599625,AL096816.1
ENSG00000237188.5,-3.535870247,0.018158867,AC242426.2
ENSG00000196666.5,-3.532941673,0.09820732,FAM180B
ENSG00000283138.1,-3.532941673,0.09820732,AC006207.1
ENSG00000102970.11,-3.532423087,0.095702561,CCL17
ENSG00000149609.6,-3.53229505,0.096566481,C20orf144
ENSG00000176890.16,-3.53042341,1.83E-191,TYMS
ENSG00000268027.5,-3.526947518,0.095965807,AC243960.1
ENSG00000220161.4,-3.526798015,0.095970789,LINC02076
ENSG00000236501.6,-3.526610917,0.096882724,AC074286.1
ENSG00000187624.9,-3.524023991,0.000603393,C17orf97
ENSG00000143772.9,-3.520902351,1.31E-144,ITPKB
ENSG00000239653.1,-3.473606181,0.018714464,PSMD6-AS2
ENSG00000112425.15,-3.457396995,1.51E-16,EPM2A
ENSG00000100105.18,-3.455870333,7.03E-104,PATZ1
ENSG00000093009.10,-3.45310494,5.32E-62,CDC45
ENSG00000183674.12,-3.448966751,1.42E-06,LINC00518
ENSG00000111206.12,-3.437064751,1.25E-180,FOXM1
ENSG00000085831.15,-3.433882098,4.50E-39,TTC39A
ENSG00000136824.19,-3.431557287,2.23E-94,SMC2
ENSG00000205786.8,-3.428386657,1.52E-13,LINC01531
ENSG00000274317.2,-3.420900842,0.023763941,LINC02334
ENSG00000284906.1,-3.4207155,0.025345216,ARHGAP11B
ENSG00000249087.7,-3.417498494,0.115106417,ZNF436-AS1
ENSG00000286830.1,-3.417123949,0.112868597,AC105052.5
ENSG00000160298.17,-3.415987321,1.25E-06,C21orf58
ENSG00000143476.18,-3.412123678,4.13E-42,DTL
ENSG00000221995.5,-3.411221242,0.113254689,TIAF1
ENSG00000249661.1,-3.410809617,0.115587979,TNRC18P1
ENSG00000049768.15,-3.408458401,0.024336015,FOXP3
ENSG00000137807.15,-3.405497942,4.68E-90,KIF23
ENSG00000161996.19,-3.401843643,2.57E-07,WDR90
ENSG00000143321.19,-3.388499115,0,HDGF
ENSG00000155115.7,-3.386332973,6.48E-88,GTF3C6
ENSG00000174371.17,-3.378082139,6.96E-44,EXO1
ENSG00000224260.6,-3.377702063,0.001432372,AL023754.1
ENSG00000116830.12,-3.370783603,1.26E-75,TTF2
ENSG00000151474.23,-3.365966866,2.12E-107,FRMD4A
ENSG00000266554.2,-3.364619562,2.44E-11,LINC01443
ENSG00000176912.4,-3.359481631,0.028298657,TYMSOS
ENSG00000171819.5,-3.353316652,0.026194844,ANGPTL7
ENSG00000121152.10,-3.352652844,1.66E-78,NCAPH
ENSG00000250961.2,-3.351778422,2.59E-06,AC025470.2
ENSG00000138180.16,-3.344273593,3.11E-67,CEP55
ENSG00000161267.12,-3.342599468,4.30E-52,BDH1
ENSG00000153885.14,-3.341869638,2.05E-76,KCTD15
ENSG00000174132.9,-3.337652641,4.31E-10,FAM174A
ENSG00000282936.2,-3.334104278,0.006239703,AC004706.3
ENSG00000182511.12,-3.319847627,3.15E-27,FES
ENSG00000179051.14,-3.308248616,0,RCC2
ENSG00000163507.14,-3.302577264,3.25E-48,CIP2A
ENSG00000079482.13,-3.302068074,8.12E-59,OPHN1
